===== Running VGG16 with SGD =====
Epoch 1/50 - Loss: 8.7507, Train Acc: 0.3417, Test Acc: 0.2667
Epoch 2/50 - Loss: 8.6906, Train Acc: 0.3417, Test Acc: 0.2667
Epoch 3/50 - Loss: 8.6207, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 4/50 - Loss: 8.5158, Train Acc: 0.3667, Test Acc: 0.2667
Epoch 5/50 - Loss: 8.4325, Train Acc: 0.3583, Test Acc: 0.2667
Epoch 6/50 - Loss: 8.3178, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 7/50 - Loss: 8.3110, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 8/50 - Loss: 8.2494, Train Acc: 0.3500, Test Acc: 0.2667
Epoch 9/50 - Loss: 8.1716, Train Acc: 0.3583, Test Acc: 0.2667
Epoch 10/50 - Loss: 8.0403, Train Acc: 0.3667, Test Acc: 0.2667
Epoch 11/50 - Loss: 7.8233, Train Acc: 0.4500, Test Acc: 0.4333
Epoch 12/50 - Loss: 7.6088, Train Acc: 0.6000, Test Acc: 0.5333
Epoch 13/50 - Loss: 7.3403, Train Acc: 0.6667, Test Acc: 0.5333
Epoch 14/50 - Loss: 7.1699, Train Acc: 0.6667, Test Acc: 0.5333
Epoch 15/50 - Loss: 6.7644, Train Acc: 0.7000, Test Acc: 0.5333
Epoch 16/50 - Loss: 6.4194, Train Acc: 0.6667, Test Acc: 0.5333
Epoch 17/50 - Loss: 5.5000, Train Acc: 0.7083, Test Acc: 0.5333
Epoch 18/50 - Loss: 5.1029, Train Acc: 0.7250, Test Acc: 0.5667
Epoch 19/50 - Loss: 4.4908, Train Acc: 0.7500, Test Acc: 0.7000
Epoch 19/50 - Loss: 4.4908, Train Acc: 0.7500, Test Acc: 0.7000
Epoch 20/50 - Loss: 5.2804, Train Acc: 0.6167, Test Acc: 0.5333
Epoch 21/50 - Loss: 3.7519, Train Acc: 0.7917, Test Acc: 0.9667
Epoch 22/50 - Loss: 4.1954, Train Acc: 0.7500, Test Acc: 0.8000
Epoch 23/50 - Loss: 3.7602, Train Acc: 0.8000, Test Acc: 0.6000
