===== Running BasicCNN with SGD =====
Epoch 1/50 - Loss: 9.5229, Train Acc: 0.4333, Test Acc: 0.3667
Epoch 2/50 - Loss: 7.8060, Train Acc: 0.6000, Test Acc: 0.5333
Epoch 3/50 - Loss: 6.4277, Train Acc: 0.7000, Test Acc: 0.5333
Epoch 4/50 - Loss: 4.8865, Train Acc: 0.7000, Test Acc: 0.5333
Epoch 5/50 - Loss: 3.9980, Train Acc: 0.7417, Test Acc: 0.7667
Epoch 6/50 - Loss: 3.2220, Train Acc: 0.7917, Test Acc: 0.7000
Epoch 7/50 - Loss: 3.0847, Train Acc: 0.8083, Test Acc: 0.8667
Epoch 8/50 - Loss: 2.8504, Train Acc: 0.8333, Test Acc: 0.9000
Epoch 9/50 - Loss: 2.2807, Train Acc: 0.9083, Test Acc: 0.9667
Epoch 10/50 - Loss: 2.3146, Train Acc: 0.8750, Test Acc: 0.9667
Epoch 11/50 - Loss: 1.8215, Train Acc: 0.9583, Test Acc: 0.9333
Epoch 12/50 - Loss: 1.6426, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 13/50 - Loss: 1.7115, Train Acc: 0.9333, Test Acc: 0.9667
Epoch 14/50 - Loss: 1.8623, Train Acc: 0.9167, Test Acc: 0.9333
Epoch 15/50 - Loss: 1.7081, Train Acc: 0.9083, Test Acc: 0.9667
Epoch 16/50 - Loss: 1.1266, Train Acc: 0.9417, Test Acc: 0.9333
Epoch 17/50 - Loss: 1.0372, Train Acc: 0.9750, Test Acc: 0.9667
Epoch 18/50 - Loss: 0.9775, Train Acc: 0.9833, Test Acc: 0.9333
Epoch 19/50 - Loss: 0.9487, Train Acc: 0.9583, Test Acc: 0.9333
Epoch 20/50 - Loss: 1.5780, Train Acc: 0.9000, Test Acc: 0.9000
Epoch 21/50 - Loss: 1.3131, Train Acc: 0.9083, Test Acc: 0.9667
Epoch 22/50 - Loss: 1.1054, Train Acc: 0.9417, Test Acc: 0.9333
Epoch 23/50 - Loss: 2.2490, Train Acc: 0.8917, Test Acc: 0.9333
Epoch 24/50 - Loss: 3.6185, Train Acc: 0.8167, Test Acc: 0.9667
Epoch 25/50 - Loss: 1.1999, Train Acc: 0.9333, Test Acc: 0.9333
Epoch 26/50 - Loss: 1.3075, Train Acc: 0.9417, Test Acc: 0.9667
Epoch 27/50 - Loss: 0.8959, Train Acc: 0.9833, Test Acc: 0.9667
Epoch 28/50 - Loss: 0.8341, Train Acc: 0.9667, Test Acc: 0.9667
Epoch 29/50 - Loss: 0.6754, Train Acc: 0.9750, Test Acc: 0.9667
Epoch 30/50 - Loss: 0.7951, Train Acc: 0.9583, Test Acc: 0.9333
Epoch 31/50 - Loss: 1.3087, Train Acc: 0.9417, Test Acc: 0.8667
Epoch 32/50 - Loss: 3.6850, Train Acc: 0.8250, Test Acc: 0.9333
Epoch 33/50 - Loss: 1.7167, Train Acc: 0.9083, Test Acc: 0.9667
Epoch 34/50 - Loss: 0.9267, Train Acc: 0.9500, Test Acc: 0.9667
Epoch 35/50 - Loss: 0.6926, Train Acc: 0.9833, Test Acc: 0.9333
Epoch 36/50 - Loss: 0.9702, Train Acc: 0.9417, Test Acc: 0.9333
Epoch 37/50 - Loss: 1.4450, Train Acc: 0.9250, Test Acc: 0.9000
Epoch 38/50 - Loss: 4.9554, Train Acc: 0.7583, Test Acc: 0.9333
Epoch 39/50 - Loss: 2.3384, Train Acc: 0.8333, Test Acc: 0.6667
Epoch 40/50 - Loss: 2.1273, Train Acc: 0.9333, Test Acc: 0.9667
Epoch 41/50 - Loss: 1.5277, Train Acc: 0.9667, Test Acc: 0.9333
Epoch 42/50 - Loss: 0.9179, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 43/50 - Loss: 0.7630, Train Acc: 0.9750, Test Acc: 0.8667
Epoch 44/50 - Loss: 0.9227, Train Acc: 0.9417, Test Acc: 0.9333
Epoch 45/50 - Loss: 2.3851, Train Acc: 0.8917, Test Acc: 0.9667
Epoch 46/50 - Loss: 1.5711, Train Acc: 0.9250, Test Acc: 0.9000
Epoch 47/50 - Loss: 1.2530, Train Acc: 0.9333, Test Acc: 0.9667
Epoch 48/50 - Loss: 0.7531, Train Acc: 0.9833, Test Acc: 0.9667
Epoch 49/50 - Loss: 0.7404, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 50/50 - Loss: 0.6852, Train Acc: 0.9750, Test Acc: 0.9667
Result: Train Acc=0.9750, Test Acc=0.9667

===== Running BasicCNN with Adam =====
Epoch 1/50 - Loss: 8.2448, Train Acc: 0.4583, Test Acc: 0.5333
Epoch 2/50 - Loss: 7.0733, Train Acc: 0.6917, Test Acc: 0.5333
Epoch 3/50 - Loss: 5.9701, Train Acc: 0.7000, Test Acc: 0.5333
Epoch 4/50 - Loss: 4.6585, Train Acc: 0.7000, Test Acc: 0.5333
Epoch 5/50 - Loss: 3.8774, Train Acc: 0.7000, Test Acc: 0.5333
Epoch 6/50 - Loss: 3.3411, Train Acc: 0.7167, Test Acc: 0.7333
Epoch 7/50 - Loss: 2.9058, Train Acc: 0.8583, Test Acc: 0.5667
Epoch 8/50 - Loss: 2.7334, Train Acc: 0.8000, Test Acc: 0.9667
Epoch 9/50 - Loss: 2.3344, Train Acc: 0.9833, Test Acc: 0.8000
Epoch 10/50 - Loss: 2.2934, Train Acc: 0.8417, Test Acc: 0.9667
Epoch 11/50 - Loss: 1.6612, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 12/50 - Loss: 1.4996, Train Acc: 0.9583, Test Acc: 0.9667
Epoch 13/50 - Loss: 1.1818, Train Acc: 0.9750, Test Acc: 0.9333
Epoch 14/50 - Loss: 1.0647, Train Acc: 0.9583, Test Acc: 0.9333
